ticker,Date,ROCE,Price To Book Ratio
AAPL,9/24/2022 0:00,0.600871346,48.14034011
AAPL,9/25/2021 0:00,0.483099135,38.89286547
AAPL,9/26/2020 0:00,0.303383128,29.81826966
AAPL,9/28/2019 0:00,0.274615761,11.16694408
AAPL,9/29/2018 0:00,0.284892248,10.44011315
AAPL,9/30/2017 0:00,0.223471339,5.99850304
AAPL,9/24/2016 0:00,0.247338058,4.807960469
AAPL,9/26/2015 0:00,0.339402199,5.529512152
AAPL,9/27/2014 0:00,0.311792198,5.496529526
AAPL,9/28/2013 0:00,0.29997796,3.615604177
AAPL,9/29/2012 0:00,0.401688457,5.275546255
AAPL,9/24/2011 0:00,0.382235495,4.8773462
AAPL,9/25/2010 0:00,0.337581021,5.562839018
AAPL,9/26/2009 0:00,0.221527959,5.851500816
AAPL,9/27/2008 0:00,0.246271586,5.375908611
AAPL,9/29/2007 0:00,0.274738285,9.130889508
AAPL,9/30/2006 0:00,0.228526178,6.508005054
AAPL,9/24/2005 0:00,0.204537003,5.760642218
AAPL,9/25/2004 0:00,0.060707635,2.729854164
AAPL,9/27/2003 0:00,0.019964109,1.767032122
AAPL,9/28/2002 0:00,0.036206897,1.276185749
AAPL,9/29/2001 0:00,-0.076393515,1.367442521
AAPL,9/30/2000 0:00,0.171663244,2.034964703
AAPL,9/25/1999 0:00,0.146179402,2.994932991
AAPL,9/25/1998 0:00,0.141928494,3.114470662
AAPL,9/26/1997 0:00,-0.322153209,2.238911545
AAPL,9/27/1996 0:00,-0.358226718,1.341512244
AAPL,9/29/1995 0:00,0.175115207,1.579976075
AAPL,9/30/1994 0:00,0.155510846,1.678289351
AAPL,9/30/1993 0:00,0.030532339,1.374165426
AAPL,9/30/1992 0:00,0.287935101,2.526898031
AAPL,9/30/1991 0:00,0.196485834,3.364340053
AAPL,9/30/1990 0:00,0.365371786,2.648496667
AAPL,9/30/1989 0:00,0.343124527,3.841314954
AAPL,9/30/1988 0:00,0.494262948,5.602038451
AAPL,9/30/1987 0:00,0.371797438,8.849729294
AAPL,9/30/1986 0:00,0.328884079,3.096862124
AAPL,9/30/1985 0:00,0.229868914,1.75096613
AMZN,12/31/2022 0:00,-0.011614738,5.860438364
AMZN,12/31/2021 0:00,0.14359483,12.20424637
AMZN,12/31/2020 0:00,0.117545301,17.43463877
AMZN,12/31/2019 0:00,0.105801973,14.70887786
AMZN,12/31/2018 0:00,0.131778011,16.79623849
AMZN,12/31/2017 0:00,0.055919485,20.2586019
AMZN,12/31/2016 0:00,0.105744455,18.43082085
AMZN,12/31/2015 0:00,0.070787764,23.58343022
AMZN,12/31/2014 0:00,0.00673834,13.34900847
AMZN,12/31/2013 0:00,0.043366901,18.69967474
AMZN,12/31/2012 0:00,0.049878256,13.87257202
AMZN,12/31/2011 0:00,0.083028318,10.10884363
AMZN,12/31/2010 0:00,0.166884273,11.72202797
AMZN,12/31/2009 0:00,0.175065902,11.07992391
AMZN,12/31/2008 0:00,0.235986547,8.118053892
AMZN,12/31/2007 0:00,0.236376759,31.96350877
AMZN,12/31/2006 0:00,0.212452212,38.08668213
AMZN,12/31/2005 0:00,0.244482173,78.96666667
AMZN,12/31/2004 0:00,0.270513381,-79.12672599
AMZN,12/31/2003 0:00,0.297575583,-20.08489951
AMZN,12/31/2002 0:00,0.069361411,-5.283266635
AMZN,12/31/2001 0:00,-0.575671,-2.736640986
AMZN,12/31/2000 0:00,-0.744587416,-5.645376588
AMZN,12/31/1999 0:00,-0.349618727,93.50595468
AMZN,12/31/1998 0:00,-0.229951631,114.4836816
AMZN,12/31/1997 0:00,-0.27661597,45.77066981
AMZN,12/31/1996 0:00,-1.764705882,111.356588
